title,release_date,developer,publisher,tags,bundle,music
Hidden Cats in Tokyo,"12 Dec, 2024",Nukearts Studio,Nukearts Studio,"Hidden Object,Adventure,Cats,Superhero,Ninja,Robots,Colorful,Cute,Relaxing,Comedy,Cartoony,Creature Collector,Family Friendly,Casual,Historical,1980s,Retro,Puzzle,Funny,Hand-drawn",,
"LONELY, LUSTFUL, ARROGANT, HATEFUL","13 Oct, 2021",Notovia,Notovia,"Adventure,Puzzle,Anime,Logic,Drama,Dystopian,Futuristic,Isometric,Sokoban,Cartoony,Sci-fi,Story Rich,Lore-Rich,Mystery,Singleplayer,Controller,3D,Surreal,Atmospheric,FMV",,"Buy LONELY, LUSTFUL, ARROGANT, HATEFUL"
Trader of the Night,"17 Oct, 2022",Notovia,Notovia,"Simulation,Economy,Capitalism,Horror,Psychological Horror,Cyberpunk,Dark Comedy,Puzzle,Immersive Sim,Stylized,Dystopian,Management,Time Management,Sci-fi,Funny,Atmospheric,Sokoban,Illuminati,Singleplayer,Assassin",,Buy Trader of the Night
I'm on Observation Duty 7,"22 Oct, 2024",Notovia,Notovia,"Horror,Psychological Horror,Puzzle,Atmospheric,Hidden Object,Mystery,Psychological,Cinematic,Singleplayer,Investigation,Supernatural,Realistic,Controller,Story Rich,Lovecraftian,Idler,Immersive Sim,Adventure,Logic,3D",,
I'm on Observation Duty 6,"1 Sep, 2023",Notovia,Notovia,"Psychological Horror,Puzzle,Hidden Object,Horror,Mystery,Logic,Singleplayer,Psychological,Clicker,Local Co-Op,3D Vision,Atmospheric,Investigation,Supernatural,Lovecraftian,Illuminati,Controller,Story Rich,Demons,Realistic",,Buy I'm on Observation Duty 6
I'm on Observation Duty 5,"13 May, 2022",Notovia,Notovia,"Horror,Psychological Horror,Atmospheric,Puzzle,Mystery,Dark,Sokoban,Psychological,Hidden Object,Lovecraftian,Logic,Realistic,Casual,Story Rich,Narration,Singleplayer,Co-op,Indie,3D,Tabletop",,Buy I'm on Observation Duty 5
I'm on Observation Duty 3,"13 Nov, 2020",Notovia,Notovia,"VR,Psychological Horror,Survival Horror,Psychological,Horror,Adventure,Puzzle,Mystery,Hidden Object,First-Person,Survival,Singleplayer,Exploration,Lovecraftian,Illuminati,Investigation,Sokoban,3D,Dark,Surreal",,
I'm on Observation Duty 2,"23 Mar, 2020",Notovia,Notovia,"Indie,Strategy,Nudity,Gore,Horror,Psychological Horror,Atmospheric,Singleplayer,Puzzle,Sexual Content",,Buy I'm on Observation Duty 2: Timothy's Revenge
I'm on Observation Duty,"14 Dec, 2018",Notovia,Notovia,"Indie,Horror,Psychological Horror,Nudity,Singleplayer,Atmospheric,Puzzle,Hidden Object",,Buy I'm on Observation Duty
The Stalked,"28 Mar, 2024",Korvinrular,Korvinrular,"Horror,Atmospheric,Thriller,Dark,Mystery,Story Rich,Linear,Walking Simulator,Exploration,Immersive,Psychological,Psychological Horror,Adventure,Emotional,Realistic,Short,Indie,First-Person,Multiplayer,3D",,
The Devourer: Hunted Souls,"26 Oct, 2023",ZTEK Studio,ZTEK Studio,"Early Access,Horror,Multiplayer,Survival Horror,Online Co-Op,VR,Co-op Campaign,Psychological Horror,Realistic,Investigation,Story Rich,Open World,Supernatural,First-Person,Dark,Adventure,Lovecraftian,Atmospheric,Action,Exploration",,
Midnight Heist,"25 Oct, 2023",MediaTale,MediaTale,"Early Access,Horror,Heist,Hacking,Psychological Horror,Action,Online Co-Op,Survival Horror,Adventure,Action-Adventure,Loot,Atmospheric,Exploration,Realistic,Dark,Crime,Multiplayer,Simulation,Character Customization,First-Person",,
Rotten Flesh - Cosmic Horror Survival Game,"22 Jan, 2024",Steelkrill Studio,Steelkrill Studio,"Adventure,Horror,First-Person,Survival Horror,Pixel Graphics,Psychological Horror,Shooter,Cute,Dog,Action,Singleplayer,Simulation,Survival,Cartoony,Action-Adventure,Puzzle,Walking Simulator,Bullet Hell,FPS,Exploration",,Buy Rotten Flesh - Horror Survival Game
Never Ending Nightmare,"29 Aug, 2023",Korvinrular,Korvinrular,"Horror,Psychological Horror,Dark,Atmospheric,Story Rich,Walking Simulator,Linear,Drama,Mystery,Immersive,Exploration,Surreal,Psychological,Adventure,Emotional,First-Person,Short,Indie,3D,Singleplayer",,Buy Never Ending Nightmare
The Sewer Job,"18 Apr, 2023",Korvinrular,Korvinrular,"Horror,Atmospheric,Thriller,Mystery,Dark,Linear,Immersive,Realistic,Choices Matter,Exploration,Investigation,Adventure,Multiple Endings,Story Rich,Walking Simulator,First-Person,3D,Singleplayer,Short,Indie",,Buy The Sewer Job
My Grandparents' Christmas Mystery,"30 Dec, 2022",Korvinrular,Korvinrular,"Horror,Atmospheric,Psychological Horror,Survival Horror,Surreal,Adventure,Mystery,Dark,Short,Walking Simulator,Exploration,Linear,Story Rich,3D,Immersive,Investigation,First-Person,Singleplayer,Indie,Nature",,Buy My Grandparents Christmas Mystery
Psych,"22 Oct, 2022",MediaTale,MediaTale,"Horror,Psychological Horror,Thriller,Atmospheric,Adventure,Crime,Action-Adventure,Exploration,Emotional,Dark,Dynamic Narration,Puzzle,Realistic,Interactive Fiction,Survival Horror,Action,Singleplayer,Indie,First-Person,3D",,Buy Psych
Baby Blues Nightmares - Toddler Horror Game,"16 Sep, 2024",Steelkrill Studio,Steelkrill Studio,"Horror,Cartoony,Adventure,Singleplayer,First-Person,Action,Multiplayer,Simulation,Psychological Horror,Action-Adventure,Arcade,Puzzle,Sandbox,Walking Simulator,Bullet Hell,Choose Your Own Adventure,FPS,Immersive Sim,Outbreak Sim,Puzzle Platformer",,Buy Baby Blues Nightmares
The Stairway 7 - Anomaly Hunt Loop Horror Game,"17 May, 2024",Steelkrill Studio,Steelkrill Studio,"Action,Psychological Horror,Walking Simulator,Horror,Adventure,Simulation,3D,Exploration,Immersive Sim,Choices Matter,Arcade,Life Sim,Puzzle,Sandbox,Choose Your Own Adventure,Hidden Object,FPS,Time Management,Abstract,Cartoon",,Buy The Stairway 7 - Anomaly Hunter Loop Horror Game
The Backrooms 1998 - Found Footage Survival Horror Game,"25 May, 2022",Steelkrill Studio,Steelkrill Studio,"Psychological Horror,Survival Horror,Early Access,Gore,Survival,Thriller,Action,Adventure,Simulation,Dark,Escape Room,Realistic,Action-Adventure,Puzzle,Sandbox,Walking Simulator,FPS,Atmospheric,3D,Choose Your Own Adventure",,Buy The Backrooms 1998 - Found Footage Backroom Survival Horror Game
Trenches - World War 1 Horror Survival Game,"20 Jan, 2023",Steelkrill Studio,Steelkrill Studio,"Psychological Horror,Horror,Action,World War I,Adventure,Survival Horror,Simulation,War,Stealth,Puzzle,Exploration,FPS,3D,First-Person,Realistic,Atmospheric,Dark,Singleplayer,Demons,Multiplayer",,Buy Trenches - World War 1 Horror Survival Game
Rotten Flesh - Cosmic Horror Survival Game Demo,"12 Aug, 2024",Steelkrill Studio,Steelkrill Studio,"Action,Adventure,Survival Horror,Simulation,Action-Adventure,Puzzle,Walking Simulator,Choose Your Own Adventure,Creature Collector,FPS,Immersive Sim,Shoot 'Em Up,3D,First-Person,Pixel Graphics,Psychedelic,Realistic,Voxel,America,Atmospheric",,
Water Delivery,"18 Sep, 2024",Frozen Lake Software,Frozen Lake Software,"Adventure,Horror,Mystery,Psychological Horror,Atmospheric,Simulation,First-Person,Singleplayer,Supernatural,Multiple Endings,Walking Simulator,Stylized,Dark,Story Rich,Choices Matter,Surreal,Violent,Demons,Exploration,3D",,Buy Water Delivery
Within the Backrooms,"12 Jan, 2023",Shattered Display,Shattered Display,"Adventure,Exploration,Atmospheric,Retro,Surreal,Stylized,Lore-Rich,Open World,Multiple Endings,1990's,Indie,Soundtrack,Nostalgia,Nonlinear,3D,First-Person,Singleplayer,Walking Simulator,Puzzle,Casual",,Buy Within The Backrooms
DREAM LOGIC,"6 Sep, 2022",Teleopsia Games,Teleopsia Games,"Adventure,Psychological Horror,Atmospheric,Exploration,Horror,Mystery,Singleplayer,Puzzle,Indie,Walking Simulator,First-Person,Action-Adventure,Story Rich,Linear,Relaxing,PvE,3D,1990's,1980s,Investigation",,Buy DREAM LOGIC
The Backrooms: Survival,"15 Sep, 2023",RE:CODE,RE:CODE,"Horror,Multiplayer,Survival Horror,Online Co-Op,Psychological Horror,Co-op,Roguelike,Dark,Dungeon Crawler,Roguelite,Adventure,Memes,Mystery Dungeon,Survival,Psychological,Simulation,Retro,PvP,Psychedelic,First-Person",,Buy The Backrooms: Survival
Anemoiapolis: Chapter 1,"3 Mar, 2023",Andrew Quist,Andrew Quist,"Horror,Psychological Horror,First-Person,Exploration,Singleplayer,Mystery,Realistic,Procedural Generation,Walking Simulator,1990's,Surreal,Atmospheric,Adventure,Cinematic,Story Rich,Experimental,Dark,3D,1980s,Lovecraftian",,Buy Anemoiapolis
Nobody Sleeps Tonight,"11 Mar, 2024",RE:CODE,RE:CODE,"Early Access,Survival Horror,Psychological Horror,Exploration,Dungeon Crawler,Roguelite,Sandbox,Survival,Perma Death,Roguelike,Character Customization,First-Person,Horror,Procedural Generation,Action,Simulation,Demons,Combat,Co-op,Online Co-Op",,Buy Nobody Sleeps Tonight
Bad Parenting 1: Mr. Red Face,"9 Oct, 2024",2OO2,2OO2,"Adventure,Horror,Walking Simulator,3D,1990's,Exploration,Psychological Horror,Cartoon,Dark,Atmospheric,Stylized,Lore-Rich,Mystery,Retro,Story Rich,Singleplayer,Violent,Linear,Indie",,Buy Bad Parenting 1: Mr. Red Face
The Scourge | Tai Ương,"23 Oct, 2024",Rare Reversee,Rare Reversee (Global),"Early Access,Horror,Singleplayer,Supernatural,Multiple Endings,Exploration,First-Person,Indie,Realistic,Adventure,Puzzle,Walking Simulator,Psychological Horror,RPG,Thriller,Atmospheric,Survival Horror,Modern,Gore,Foreign",,
A Lonely Cabin Trip,"16 Dec, 2022",Korvinrular,Korvinrular,"Horror,Psychological Horror,Atmospheric,Adventure,Dark,First-Person,Mystery,Immersive,Multiple Endings,Walking Simulator,Story Rich,Surreal,Linear,Jump Scare,3D,Exploration,Choices Matter,Short,Singleplayer,Indie",,Buy A Lonely Cabin Trip
Stone Story RPG,"26 Jul, 2023",Martian Rex,Martian Rex,"RPG,Adventure,Casual,Indie,Programming,Retro,Logic,Idler,Text-Based,Great Soundtrack,Clicker,Puzzle,Minimalist,Early Access,Singleplayer",,
The Death Into Trouble,"22 Oct, 2021",8 Million Bit,Hanoi Studios,"Precision Platformer,Pixel Graphics,Cute,Stealth,Supernatural,Exploration,Soundtrack,Villain Protagonist,Platformer,2D Platformer,Singleplayer,Action,Nonlinear,Puzzle Platformer,Retro,Family Friendly,Side Scroller,Funny,Lore-Rich,Open World",,Buy The Death Into Trouble
Save Room - The Merchant,"14 Jul, 2023",Fractal Projects,Fractal Projects,"Inventory Management,Puzzle,Survival Horror,Relaxing,Zombies,Gun Customization,Horror,Parody,Controller,Military,Minimalist,Logic,Casual,Management,Atmospheric,Crafting,Grid-Based Movement,Singleplayer,Resource Management,Indie",,Buy Save Room - The Merchant
Hanoi Puzzles: Flip Match,"15 Oct, 2021",Hanoi Studios,Hanoi Studios,"Puzzle,Match 3,Hex Grid,Family Friendly,Board Game,Futuristic,Colorful,Atmospheric,Cyberpunk,3D Vision,Relaxing,Minimalist,Abstract,Tabletop,Logic,Education,Soundtrack,Mouse only,Short,Casual",,Buy Hanoi Puzzles: Flip Match
Hanoi Puzzles: Solid Match,"16 Dec, 2020",Hanoi Studios,Hanoi Studios,"Puzzle,Match 3,Hex Grid,Board Game,Futuristic,Atmospheric,Cyberpunk,Soundtrack,Mouse only,Isometric,Casual,Relaxing,Minimalist,Abstract,Logic,Education,Tabletop,Indie,Singleplayer,Family Friendly",,Buy Hanoi Puzzles: Solid Match
Word Game,"21 Jan, 2022",Team9,Team9,"Exploration,Puzzle,Choose Your Own Adventure,Strategy,2D,RPG,Dragons,JRPG,Story Rich,Noir,Multiple Endings,Narration,Linear,Pixel Graphics,Minimalist,Stylized,Logic,Magic,Atmospheric,Adventure",,
Under Leaves,"27 Apr, 2017",Circus Atos,Circus Atos,"Hidden Object,Colorful,Nature,Family Friendly,Relaxing,Hand-drawn,Cute,Atmospheric,Stylized,Singleplayer,Music,Puzzle,2D,Short,Indie,Casual,Beautiful,Point & Click,Dark,Great Soundtrack",,Buy Under Leaves
Induction,"7 Feb, 2017",Bryan Gale,Bryan Gale,"Indie,Puzzle,Abstract,Time Travel,Minimalist,Difficult",,Buy Induction
Word Game Official Art Book,"5 Aug, 2022",Team9,Team9,"Strategy,Adventure,RPG,Indie",,
Flex hooks,"24 May, 2021",Thedox Games,Thedox Games,"Relaxing,Minimalist,Puzzle,Electronic,Short,Physics,Family Friendly,Logic,Abstract,Atmospheric,Casual,Singleplayer,Touch-Friendly,Top-Down,Dark,Indie,2D,Sci-fi,Point & Click",,
Little Mouse's Encyclopedia,"25 Feb, 2019",Circus Atos,Circus Atos,"Education,Nature,Family Friendly,Hand-drawn,Colorful,Point & Click,2D,Cute,Singleplayer,Casual,Indie",,Buy Little Mouse's Encyclopedia
Achromatic,"28 Sep, 2018",Studio Goya,Studio Goya,"Indie,Puzzle",,Buy Achromatic
YANKAI'S PEAK.,"13 Jul, 2017",Kenny Sun,Kenny Sun,"Indie,Puzzle,Sokoban",,Buy YANKAI'S PEAK.
Hex Two,"8 Jun, 2018",Studio Goya,Studio Goya,"Indie,Casual,Puzzle,Hex Grid,Minimalist,Atmospheric,Relaxing",,Buy Hex Two
Hex,"6 Nov, 2017",Studio Goya,Studio Goya,"Indie,Puzzle,Minimalist,Casual,Hex Grid,Atmospheric,Relaxing",,Buy Hex
Linelight,"30 Jan, 2017",My Dog Zorro,My Dog Zorro,"Indie,Casual,Puzzle,Action,Adventure,Minimalist,Great Soundtrack,Relaxing",,Buy Linelight
Hexcells Infinite,"1 Sep, 2014",Matthew Brown,Matthew Brown,"Puzzle,Casual,Indie,Logic,Minimalist,Relaxing,Singleplayer,Strategy,Hex Grid,Replay Value,Difficult,Touch-Friendly,2D,Mouse only,Great Soundtrack",,Buy Hexcells Infinite
Sokobond,"21 Jul, 2014",Alan Hazelden,Draknek & Friends,"Sokoban,Science,Difficult,Puzzle,Abstract,2D,Strategy,Education,Cute,Casual,Relaxing,Colorful,Minimalist,Stylized,Logic,Family Friendly,Singleplayer,Indie,Controller,Great Soundtrack",,Buy Sokobond
English Country Tune,"25 Nov, 2011",increpare games,increpare games,"Puzzle,Indie,Casual,Abstract,Difficult,Singleplayer,3D,Sokoban",,Buy English Country Tune
CrossCells,"26 May, 2017",Matthew Brown,Matthew Brown,"Casual,Indie,Puzzle,Strategy,Minimalist,Logic",,Buy CrossCells
MOLEK-SYNTEZ,"19 Nov, 2019",Zachtronics,Zachtronics,"Simulation,Puzzle,Programming,Indie,Singleplayer,Science,Automation,Logic",,Buy MOLEK-SYNTEZ
SpaceChem,"2 Mar, 2011",Zachtronics,Zachtronics,"Puzzle,Difficult,Programming,Indie,Logic,Singleplayer,Automation,Sci-fi,Great Soundtrack,Science,2D,Space,Simulation,Illuminati,Casual,Addictive,Education,Strategy,Touch-Friendly,Building",,Buy SpaceChem
LOK Digital,"11 Dec, 2024",Letibus Design,Draknek and Friends,"Hand-drawn,Puzzle,Logic,Cute,Word Game,Casual,Relaxing,Indie,Family Friendly,Minimalist,Cartoony,Linear,Singleplayer,2D,Building",,
Sokobond Express,"22 Feb, 2024",José Hernández,Draknek & Friends,"Puzzle,Logic,Science,Grid-Based Movement,Abstract,2D,Controller,Indie,Sequel,Minimalist,Singleplayer,Casual,Family Friendly,Sokoban,Automation,Education,Colorful,Ambient,Relaxing",,Buy Sokobond Express
A Good Snowman Is Hard To Build,"25 Feb, 2015",Alan Hazelden,Draknek & Friends,"Cute,Puzzle,Relaxing,Sokoban,Open World,Exploration,Difficult,Strategy,Isometric,Post-apocalyptic,Surreal,Casual,Abstract,Cartoony,Minimalist,Colorful,Stylized,Family Friendly,Great Soundtrack,Atmospheric",,Buy A Good Snowman Is Hard To Build
Cosmic Express,"16 Mar, 2017",Cosmic Engineers,Draknek & Friends,"Difficult,Cute,Puzzle,Trains,Space,Relaxing,Strategy,3D,Surreal,Casual,Abstract,Cartoony,Colorful,Minimalist,Stylized,Family Friendly,Atmospheric,Beautiful,Cartoon,Aliens",,Buy Cosmic Express
Last Call BBS,"3 Aug, 2022",Zachtronics,Zachtronics,"Puzzle,Retro,Automation,1990's,Solitaire,Sandbox,Logic,Pixel Graphics,Building,Mechs,PvP,Card Game,Arcade,Simulation,2D,Casual,Old School,Multiplayer,Singleplayer,Local Multiplayer",,Buy Last Call BBS
Neon Noodles,"3 Aug, 2023",Vivid Helix,Vivid Helix,"Automation,Cooking,Cyberpunk,Robots,Programming,Simulation,Logic,Puzzle,Singleplayer,Futuristic,Sci-fi,Sandbox,Indie,Replay Value,Great Soundtrack,Casual,Early Access,Controller,Difficult,Building",,Buy Neon Noodles
Alan's Automaton Workshop,"20 Jan, 2022",Laputa Labs,Laputa Labs,"Education,Programming,Steampunk,Automation,Puzzle,Sandbox,Logic,Building,Simulation,Singleplayer,2D,Indie,Psychological Horror,Horror",,
The Signal State,"23 Sep, 2021",Reckoner Industries,The Iterative Collective,"Puzzle,Logic,Simulation,Automation,Programming,Indie,Sandbox,Level Editor,Moddable,Tutorial,Dystopian,Futuristic,Hacking,Singleplayer,Robots,2D,Post-apocalyptic,Cyberpunk,Sci-fi,Agriculture",,Buy The Signal State
Manufactoria 2022,"16 Aug, 2022",PleasingFungus Games,PleasingFungus Games,"Puzzle,Automation,Logic,Programming,Robots,Indie,Funny,Simulation,Nonlinear,Multiple Endings,Colorful,Stylized,Comedy,Singleplayer,Isometric,Early Access,3D,Building",,
Word Factori,"3 Aug, 2023",Star Garden Games,Star Garden Games,"Puzzle,Programming,Logic,Automation,Simulation,Management,Sandbox,Word Game,Building,Typing,Strategy,Singleplayer,Indie,Top-Down,2D,Abstract,Minimalist,Family Friendly,Relaxing,Cute",,Buy Word Factori
EXAPUNKS,"22 Oct, 2018",Zachtronics,Zachtronics,"Programming,Puzzle,Hacking,Automation,Indie,Simulation,Logic,Cyberpunk,Singleplayer,Difficult,Great Soundtrack,Sandbox",,Buy EXAPUNKS
Silicon Zeroes,"18 Sep, 2017",PleasingFungus Games,PleasingFungus Games,"Simulation,Indie,Programming,Puzzle,Singleplayer,Difficult,Hacking,Education",,Buy Silicon Zeroes
Opus Magnum,"7 Dec, 2017",Zachtronics,Zachtronics,"Puzzle,Programming,Indie,Automation,Simulation,Logic,Singleplayer,Great Soundtrack,Steampunk,Building,Difficult,Sandbox,2D,Hex Grid,Casual",,Buy Opus Magnum
SHENZHEN I/O,"17 Nov, 2016",Zachtronics,Zachtronics,"Programming,Automation,Puzzle,Logic,Simulation,Difficult,Indie,Education,Singleplayer,Sandbox,Building,Great Soundtrack,Hacking,2D,Solitaire",,Buy SHENZHEN I/O
TIS-100,"20 Jul, 2015",Zachtronics,Zachtronics,"Programming,Puzzle,Indie,Difficult,Simulation,Hacking,Logic,Singleplayer,Education,Automation,Psychological Horror,Coding",,Buy TIS-100
Infinifactory,"30 Jun, 2015",Zachtronics,Zachtronics,"Puzzle,Building,Automation,Indie,Programming,Sandbox,Simulation,Singleplayer,Difficult,First-Person,Sci-fi,Logic,Space,Great Soundtrack,Strategy",,Buy Infinifactory
Bonfire Peaks,"30 Sep, 2021",Corey Martin,Draknek & Friends,"Puzzle,Sokoban,Difficult,Indie,Adventure,Atmospheric,Voxel,3D,Grid-Based Movement,Nonlinear,Pixel Graphics,Cinematic,Relaxing,Stylized,Open World,Third Person,Singleplayer,Family Friendly,Retro",,
A Monster's Expedition,"10 Sep, 2020",Draknek & Friends,Draknek & Friends,"Puzzle,Open World,Adventure,Sokoban,Exploration,Family Friendly,Difficult,Funny,Cute,Singleplayer,3D,Casual,Strategy,Relaxing,Post-apocalyptic,Atmospheric,Surreal,Nonlinear,Alternate History,Cartoony",,Buy A Monster's Expedition
Event[0],"14 Sep, 2016",Ocelot Society,Ocelot Society,"Adventure,Sci-fi,Atmospheric,Space,Indie,Singleplayer,Mystery,First-Person,Choices Matter,Multiple Endings,Artificial Intelligence,Story Rich,Exploration,Short,Dynamic Narration,Narration,Walking Simulator,Horror,Text-Based,Typing",,Buy Event[0]
Baba Is You,"13 Mar, 2019",Hempuli Oy,Hempuli Oy,"Puzzle,Indie,Difficult,Singleplayer,Logic,Pixel Graphics,Cute,Programming,2D,Sokoban,Great Soundtrack,Minimalist,Casual,Level Editor,Top-Down,Retro,Strategy,Atmospheric,Surreal,Funny",,Buy Baba Is You
Noita,"15 Oct, 2020",Nolla Games,Nolla Games,"Physics,Difficult,Pixel Graphics,Roguelike,Dungeon Crawler,Indie,Open World,2D,Sandbox,Perma Death,Action,Action Roguelike,Gun Customization,2D Platformer,RPG,Roguelite,Dark Humor,Mythology,Action-Adventure,Crafting",,Buy Noita
Environmental Station Alpha,"22 Apr, 2015",Arvi Teikari,Hempuli Oy,"Metroidvania,Pixel Graphics,Adventure,Indie,Platformer,Action,Difficult,Great Soundtrack,Retro,2D,Atmospheric,Exploration,Sci-fi,Singleplayer,Space,Puzzle",,Buy Environmental Station Alpha
The Swapper,"30 May, 2013","Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",Facepalm Games,"Puzzle,Sci-fi,Atmospheric,Indie,Space,Platformer,Puzzle Platformer,Singleplayer,Adventure,Great Soundtrack,Philosophical,2D,Psychological Horror,Metroidvania,Mystery,Exploration,Story Rich,Action,Side Scroller,Difficult",,Buy The Swapper
Crayon Physics Deluxe,"7 Jan, 2009",Kloonigames,Kloonigames,"Puzzle,Indie,Casual,Physics,Family Friendly,Singleplayer,Touch-Friendly,2D,Cute,Relaxing,Sandbox,Level Editor,Great Soundtrack,Simulation,Hand-drawn",,Buy Crayon Physics Deluxe
Stuffo the Puzzle Bot,"2 Mar, 2023",Hapatus Ltd,Hapatus Ltd,"Puzzle Platformer,Puzzle,Logic,2D,Relaxing,Pixel Graphics,Controller,Minimalist,Sci-fi,Robots,Adventure,Old School,Retro,Singleplayer,Soundtrack,Indie",,Buy Stuffo the Puzzle Bot
Gun Rocket,"2 May, 2016","Space Wedgie, LLC","Space Wedgie, LLC","Indie,Casual,Adventure,Shoot 'Em Up,Difficult,Puzzle,2D,Arcade,Shooter,Space,Pixel Graphics,Action,Retro,Singleplayer,Exploration,Classic",,Buy Gun Rocket
The Bridge,"22 Feb, 2013",Ty Taylor and Mario Castañeda,The Quantum Astrophysicists Guild,"Puzzle Platformer,Hand-drawn,Surreal,Physics,2D,Puzzle,Singleplayer,Emotional,Logic,Indie,Strategy,Platformer,Difficult,Atmospheric,Casual,Adventure,Stylized,Abstract,Philosophical,Dark",,Buy The Bridge
Deleveled,"10 Sep, 2020",ToasterFuel,The Quantum Astrophysicists Guild,"Precision Platformer,Puzzle Platformer,Physics,2D,Indie,Platformer,Difficult,Arcade,Casual,Family Friendly,Pixel Graphics,2D Platformer,Puzzle,Action,Minimalist,Retro,Colorful,Singleplayer,Logic,Controller",,Buy Deleveled
The Last Cube,"10 Mar, 2022",Improx Games,Improx Games,"3D Platformer,Puzzle Platformer,Puzzle,Difficult,3D,Third Person,Colorful,Logic,Sci-fi,Science,Atmospheric,Robots,Artificial Intelligence,Adventure,Futuristic,Grid-Based Movement,Singleplayer,Indie,Casual,Great Soundtrack",,
Puddle Knights,"3 Mar, 2020",Lockpickle,Lockpickle,"Sokoban,Puzzle,Difficult,Turn-Based,Logic,Isometric,Strategy,Cute,Relaxing,Controller,Nonlinear,Funny,Casual,Minimalist,Colorful,Family Friendly,Grid-Based Movement,Singleplayer,Indie,Great Soundtrack",,Buy Puddle Knights
Almost There: The Platformer,"19 Feb, 2019",Bony Yousuf,The Quantum Astrophysicists Guild,"Indie,2D Platformer,Casual,Platformer,Unforgiving,Precision Platformer,Action,Minimalist,Abstract,Parkour,Difficult,Replay Value,Cartoon,Singleplayer,2D,Cartoony,Strategy,Controller,Fast-Paced,Colorful",,Buy Almost There: The Platformer
Robotry!,"26 Oct, 2022",Lockpickle,Lockpickle,"Physics,Intentionally Awkward Controls,Local Co-Op,Controller,2D Platformer,Platformer,2D,Puzzle Platformer,Action,Funny,Precision Platformer,Cute,Family Friendly,Atmospheric,Adventure,Co-op,Difficult,Local Multiplayer,Casual,Singleplayer",,
Tumblestone,"12 Jul, 2016",The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,"Indie,Casual,Strategy,Action,Puzzle,Match 3,Singleplayer,Local Multiplayer,4 Player Local,Arcade,Local Co-Op,2D,Co-op,Competitive,Multiplayer,Relaxing,Split Screen,Funny,Family Friendly,Hand-drawn",,Buy Tumblestone
#Funtime,"16 Jul, 2020",OneGuyGames,The Quantum Astrophysicists Guild,"Retro,Arcade,Twin Stick Shooter,Fast-Paced,Space,Controller,Singleplayer,Action,Indie,Casual,Top-Down Shooter,Bullet Hell,Colorful,Top-Down,Difficult,Electronic Music,Shooter,Shoot 'Em Up,2D,Abstract",,Buy #Funtime
The Ambassador: Fractured Timelines,"13 Aug, 2020",tinyDino Games,The Quantum Astrophysicists Guild,"Twin Stick Shooter,Fantasy,Pixel Graphics,Time Manipulation,Action,Adventure,Singleplayer,Top-Down,Indie,Dark Fantasy,2D,Retro,Casual,RPG,Action RPG,Arcade,Shooter,Action-Adventure,Top-Down Shooter,Medieval",,Buy The Ambassador: Fractured Timelines
Breakpoint,"24 Sep, 2020",Studio Aesthesia,The Quantum Astrophysicists Guild,"Casual,Arcade,Score Attack,Twin Stick Shooter,Colorful,Retro,Fast-Paced,Space,2D,Top-Down,Top-Down Shooter,Difficult,Sci-fi,Action,Hack and Slash,Shooter,Shoot 'Em Up,Futuristic,Indie,Controller",,Buy Breakpoint
Space Otter Charlie,"18 Mar, 2021",Wayward Distractions,The Quantum Astrophysicists Guild,"Puzzle Platformer,2D,Space,Cute,Family Friendly,Adventure,Indie,Exploration,Action,Casual,Action-Adventure,Platformer,Shooter,Cartoon,Futuristic,Physics,Arcade,Spaceships,Sci-fi,Local Multiplayer",,Buy Space Otter Charlie
She Remembered Caterpillars,"17 Jan, 2017",jumpsuit entertainment UG (haftungsbeschränkt),Ysbryd Games,"Puzzle,Indie,Hand-drawn,Isometric,Cute,Atmospheric",,Buy She Remembered Caterpillars
Pavilion,"23 Sep, 2016",Visiontrick Media,Visiontrick Media,"Adventure,Indie,Puzzle,Isometric,Atmospheric",,Buy Pavilion
Back to Bed,"6 Aug, 2014",Bedtime Digital Games,Bedtime Digital Games,"Puzzle,Indie,Casual,Surreal,Action,Isometric,Singleplayer,Short,Adventure",,Buy Back to Bed
Shoot Shoot Mega Pack,"28 Apr, 2017",Actual Humans,Actual Humans,"Arena Shooter,Top-Down Shooter,PvP,Competitive,Shooter,Arcade,2D Fighter,2D,Top-Down,Funny,Controller,Action,Comedy,Retro,Combat,4 Player Local,Local Co-Op,Multiplayer,Local Multiplayer,Fast-Paced",,Buy Shoot Shoot Mega Pack
ROCKETSROCKETSROCKETS,"1 May, 2015",Radial Games Corp,Radial Games Corp,"Indie,Action,Casual,Local Multiplayer,Sports,Strategy,Local Co-Op,Arcade,Multiplayer,Fast-Paced,4 Player Local,Racing,Colorful,Space,Singleplayer,Great Soundtrack,Soundtrack,Co-op,2D,Party Game",,Buy ROCKETSROCKETSROCKETS
[the Sequence],"30 Mar, 2016",[OneManBand],[OneManBand],"Indie,Puzzle,Programming,Logic,Automation,Minimalist",,Buy [the Sequence]
hocus,"18 Nov, 2015",Yunus Ayyildiz,Yunus Ayyildiz,"Indie,Casual,Puzzle,Minimalist,Singleplayer,Difficult,2D,Relaxing,Great Soundtrack,Atmospheric,Short",,Buy hocus
